customer_id,name,segment,tenure_months,monthly_charges,total_charges,credit_limit,credit_utilization,education,marital_status,age,phone_service,internet_service,contract_type,payment_method,churn_flag,default_flag
C-0001,Customer 1,enterprise,56,61.81,1066.87,5000,0.86,PhD,Married,43,No,DSL,Month-to-month,Bank transfer,1,1
C-0002,Customer 2,enterprise,63,57.93,2872.91,10000,0.37,PhD,Single,75,No,Fiber optic,One year,Credit card,0,1
C-0003,Customer 3,retail,58,103.37,3183.06,10000,0.38,PhD,Single,72,No,Fiber optic,One year,Electronic check,1,0
C-0004,Customer 4,retail,4,52.54,7612.08,50000,0.17,Masters,Single,28,Yes,Fiber optic,Two year,Mailed check,0,0
C-0005,Customer 5,sme,21,69.14,1429.54,5000,0.1,PhD,Married,53,No,Fiber optic,One year,Electronic check,0,1
C-0006,Customer 6,retail,59,98.66,1397.26,5000,0.82,PhD,Married,59,No,Fiber optic,Month-to-month,Mailed check,0,1
C-0007,Customer 7,retail,29,97.58,2387.1,1000,0.53,High School,Married,23,Yes,No,Two year,Credit card,0,1
C-0008,Customer 8,sme,35,72.19,4866.68,1000,0.7,High School,Married,29,No,No,Two year,Electronic check,0,1
C-0009,Customer 9,sme,20,20.93,2088.71,1000,0.84,PhD,Single,19,No,DSL,Two year,Credit card,0,1
C-0010,Customer 10,sme,54,122.47,4275.25,50000,0.13,High School,Single,58,No,Fiber optic,Month-to-month,Mailed check,0,0
C-0011,Customer 11,enterprise,19,147.35,464.72,1000,0.2,PhD,Married,46,Yes,DSL,One year,Bank transfer,0,1
C-0012,Customer 12,sme,53,29.21,241.15,5000,0.21,High School,Married,78,No,Fiber optic,Month-to-month,Bank transfer,1,0
C-0013,Customer 13,enterprise,6,38.07,6364.34,5000,0.28,Masters,Single,65,Yes,Fiber optic,Month-to-month,Electronic check,1,0
C-0014,Customer 14,sme,47,109.69,5413.52,5000,0.75,PhD,Married,72,Yes,No,Two year,Mailed check,0,1
C-0015,Customer 15,enterprise,25,117.83,2104.41,5000,0.51,Bachelors,Married,37,No,DSL,Month-to-month,Electronic check,0,1
C-0016,Customer 16,sme,46,89.9,3856.1,1000,0.79,Bachelors,Married,56,No,DSL,Month-to-month,Bank transfer,1,1
C-0017,Customer 17,retail,2,96.17,7948.74,50000,0.49,Masters,Married,66,No,DSL,Month-to-month,Mailed check,1,0
C-0018,Customer 18,enterprise,16,43.52,4101.15,1000,0.26,Masters,Married,31,Yes,No,One year,Bank transfer,1,1
C-0019,Customer 19,retail,32,62.74,7229.36,10000,0.86,Masters,Married,21,Yes,Fiber optic,One year,Credit card,0,0
C-0020,Customer 20,enterprise,67,22.83,4777.25,1000,0.34,PhD,Married,28,Yes,Fiber optic,One year,Mailed check,1,1
C-0021,Customer 21,enterprise,48,87.64,6473.0,10000,0.6,Masters,Married,38,No,No,Month-to-month,Electronic check,1,1
C-0022,Customer 22,retail,9,83.78,6068.03,50000,0.66,High School,Single,24,Yes,DSL,One year,Electronic check,0,0
C-0023,Customer 23,sme,34,28.56,887.84,1000,0.61,PhD,Married,45,No,No,One year,Credit card,1,1
C-0024,Customer 24,sme,65,86.39,3910.47,10000,0.66,Masters,Married,76,Yes,DSL,Two year,Mailed check,1,1
C-0025,Customer 25,retail,15,87.37,4247.57,1000,0.24,High School,Married,29,No,No,Two year,Bank transfer,0,1
C-0026,Customer 26,retail,20,133.81,4288.81,1000,0.72,PhD,Married,68,Yes,DSL,Month-to-month,Credit card,1,1
C-0027,Customer 27,retail,67,136.28,6771.85,5000,0.47,Bachelors,Married,18,No,No,One year,Credit card,1,1
C-0028,Customer 28,sme,3,82.95,2441.83,50000,0.38,High School,Married,36,Yes,No,Month-to-month,Credit card,1,0
C-0029,Customer 29,enterprise,61,67.35,678.12,50000,0.71,Bachelors,Married,56,Yes,DSL,One year,Bank transfer,0,0
C-0030,Customer 30,enterprise,14,42.73,1708.59,50000,0.62,Bachelors,Married,66,Yes,DSL,One year,Bank transfer,1,0
C-0031,Customer 31,sme,49,98.83,2887.74,5000,0.27,PhD,Married,27,Yes,DSL,Month-to-month,Credit card,1,1
C-0032,Customer 32,sme,15,140.18,7764.14,5000,0.83,High School,Single,68,No,DSL,Two year,Electronic check,0,1
C-0033,Customer 33,enterprise,10,45.1,1119.01,5000,0.19,PhD,Married,57,Yes,No,Month-to-month,Bank transfer,0,0
C-0034,Customer 34,enterprise,58,94.86,1703.01,5000,0.46,High School,Single,68,No,No,One year,Mailed check,1,1
C-0035,Customer 35,sme,2,35.93,2106.52,50000,0.24,PhD,Married,42,No,No,Two year,Bank transfer,0,0
C-0036,Customer 36,enterprise,35,89.69,760.62,10000,0.43,High School,Married,47,Yes,DSL,Two year,Electronic check,0,1
