event_id,timestamp,source_ip,dest_ip,protocol,service,duration,src_bytes,dst_bytes,attack_category,is_attack,severity
CYB-0000001,2026-06-08T15:18:53.555119,192.168.34.24,10.0.39.44,udp,ftp,9.756,5895,8669,Normal,0,Low
CYB-0000002,2026-06-29T07:18:53.555119,192.168.72.71,10.0.159.36,tcp,ftp,1.216,2980,1589,Normal,0,Low
CYB-0000003,2026-08-02T09:18:53.555119,192.168.126.58,10.0.116.55,udp,dns,5.899,2573,7521,Normal,0,Low
CYB-0000004,2026-07-10T19:18:53.555119,192.168.195.165,10.0.251.120,tcp,ftp,3.455,6743,2042,Normal,0,Low
CYB-0000005,2026-05-18T18:18:53.555119,192.168.200.71,10.0.5.36,icmp,ftp,2.71,7281,8778,Normal,0,Low
CYB-0000006,2026-07-25T22:18:53.555119,192.168.177.212,10.0.159.243,udp,ssh,2.361,2746,7170,Normal,0,Low
CYB-0000007,2026-06-28T08:18:53.555119,192.168.72.206,10.0.1.198,udp,http,5.72,5146,3803,Normal,0,Low
CYB-0000008,2026-06-06T18:18:53.555119,192.168.14.164,10.0.124.190,udp,ftp,8.793,9475,9548,Normal,0,Low
CYB-0000009,2026-06-25T23:18:53.555119,192.168.229.103,10.0.192.179,icmp,dns,4.375,3333,3861,Normal,0,Low
CYB-0000010,2026-06-02T20:18:53.555119,192.168.23.128,10.0.1.207,icmp,dns,5.524,1739,8148,Normal,0,Low
CYB-0000011,2026-07-31T20:18:53.555119,192.168.242.30,10.0.9.180,tcp,dns,2.107,1691,7903,Normal,0,Low
CYB-0000012,2026-08-17T12:18:53.555119,192.168.204.82,10.0.221.51,udp,ftp,9.954,4404,2632,Normal,0,Low
CYB-0000013,2026-06-23T12:18:53.555119,192.168.171.203,10.0.121.233,icmp,http,9.614,9094,5200,Fuzzers,1,High
CYB-0000014,2026-06-04T22:18:53.555119,192.168.27.97,10.0.66.4,udp,ssh,7.315,1078,8843,Normal,0,Low
