payment_id,customer_id,month,bill_amount,payment_amount,payment_status,payment_delay_days,credit_limit,balance,default_flag
PAY-000001,C-4113,2023-02,2046.62,998.85,late_2mo,9,5000,4734.21,0
PAY-000002,C-2512,2023-04,175.05,85.52,late_2mo,65,10000,9331.67,1
PAY-000003,C-0767,2023-07,2688.05,1058.69,late_2mo,36,5000,4856.08,0
PAY-000004,C-3665,2023-01,3024.94,0.0,on_time,86,5000,8681.37,1
PAY-000005,C-3103,2023-03,1956.04,1530.06,on_time,2,10000,2776.86,0
PAY-000006,C-3930,2023-10,2799.38,0.0,late_3mo,81,1000,2363.76,0
PAY-000007,C-1844,2023-02,3201.64,1408.58,late_3mo,46,10000,9126.59,0
PAY-000008,C-3485,2023-04,2401.93,0.0,on_time,90,1000,9311.81,1
PAY-000009,C-2053,2023-02,4035.87,1238.77,on_time,81,5000,7107.97,1
PAY-000010,C-2729,2023-02,3173.81,0.0,on_time,90,1000,7192.58,1
PAY-000011,C-2002,2023-02,1686.09,0.0,on_time,50,5000,8190.71,0
PAY-000012,C-3540,2023-05,3349.53,2564.69,late_2mo,23,5000,2025.53,0
PAY-000013,C-4494,2023-05,2358.83,0.0,late_3mo,90,1000,5635.0,1
PAY-000014,C-3368,2023-11,1449.48,715.7,late_2mo,32,5000,3751.47,0
PAY-000015,C-0317,2023-04,2219.5,127.76,late_3mo,83,5000,7280.38,1
PAY-000016,C-2235,2023-12,3322.32,0.0,late_1mo,87,1000,4583.54,1
PAY-000017,C-4223,2023-01,2222.18,1754.6,late_3mo,14,10000,2494.87,0
PAY-000018,C-3015,2023-02,1835.55,1185.1,on_time,6,5000,2189.73,0
PAY-000019,C-3436,2023-06,1143.54,0.0,on_time,88,5000,9244.35,1
PAY-000020,C-4437,2023-11,2546.62,456.55,late_2mo,75,5000,8111.73,1
PAY-000021,C-3470,2023-03,3156.83,2842.61,late_2mo,14,5000,1165.34,0
PAY-000022,C-0067,2023-01,818.16,0.0,late_2mo,77,1000,6663.59,1
PAY-000023,C-2682,2023-03,2999.97,1673.27,late_3mo,17,5000,2388.62,0
PAY-000024,C-4751,2023-07,3289.69,0.0,late_2mo,81,1000,9015.54,1
PAY-000025,C-0573,2023-11,298.45,0.0,late_1mo,87,1000,7343.76,1
PAY-000026,C-1806,2023-03,4953.16,0.0,late_1mo,80,1000,3312.39,1
PAY-000027,C-2121,2023-05,1895.19,0.0,on_time,88,1000,8566.31,1
PAY-000028,C-1058,2023-03,501.43,230.6,on_time,49,5000,5069.79,0
PAY-000029,C-1280,2023-12,400.32,170.68,late_1mo,49,10000,9136.53,0
PAY-000030,C-1983,2023-02,2938.59,0.0,late_1mo,83,1000,6051.39,1
PAY-000031,C-1660,2023-04,2156.63,0.0,late_1mo,77,1000,3221.94,1
PAY-000032,C-1191,2023-03,4731.21,0.0,late_3mo,90,1000,8857.72,1
PAY-000033,C-2486,2023-10,2194.02,0.0,on_time,80,1000,2413.13,1
PAY-000034,C-4387,2023-02,4652.88,4846.89,late_1mo,6,5000,494.35,0
PAY-000035,C-2763,2023-08,2697.78,356.91,late_1mo,72,10000,8730.57,0
PAY-000036,C-2620,2023-08,1500.13,92.23,on_time,90,5000,7384.57,1
PAY-000037,C-3811,2023-09,2699.81,2227.53,on_time,17,10000,4031.46,1
PAY-000038,C-3541,2023-04,2953.41,2785.53,late_3mo,24,10000,4460.93,0
PAY-000039,C-0308,2023-12,3546.24,2072.66,late_2mo,18,10000,6672.32,0
PAY-000040,C-3664,2023-09,4068.35,1747.29,late_1mo,46,10000,4260.08,1
PAY-000041,C-3363,2023-11,2306.59,428.92,late_2mo,71,1000,1080.49,1
PAY-000042,C-1176,2023-12,1826.65,1176.96,on_time,38,10000,4399.14,0
PAY-000043,C-4528,2023-11,2455.99,996.95,late_3mo,64,5000,5536.3,1
PAY-000044,C-4188,2023-11,641.58,295.98,late_2mo,23,5000,2705.13,0
PAY-000045,C-2310,2023-01,3732.21,2050.56,late_2mo,26,10000,9102.74,0
PAY-000046,C-3324,2023-07,2594.07,0.0,on_time,90,1000,3318.74,1
PAY-000047,C-4927,2023-10,4809.04,2299.07,late_1mo,32,10000,9809.47,1
PAY-000048,C-0662,2023-05,4727.26,0.0,on_time,79,1000,4089.73,1
PAY-000049,C-1338,2023-08,2798.44,0.0,on_time,86,1000,3461.44,1
PAY-000050,C-4471,2023-11,2397.84,1785.71,on_time,39,10000,6574.65,1
PAY-000051,C-2893,2023-09,2946.71,1389.29,late_1mo,58,10000,7515.92,0
PAY-000052,C-0452,2023-07,2943.75,1069.8,on_time,42,1000,1166.42,0
PAY-000053,C-3500,2023-05,141.01,80.55,late_3mo,49,5000,3709.75,1
PAY-000054,C-0601,2023-11,1237.19,596.78,late_2mo,33,5000,4256.51,0
PAY-000055,C-4388,2023-01,2919.34,0.0,late_3mo,71,1000,9384.0,1
PAY-000056,C-0567,2023-11,4341.55,0.0,late_1mo,90,1000,6408.6,1
PAY-000057,C-2447,2023-10,3625.3,368.02,late_1mo,46,1000,1507.51,1
PAY-000058,C-1727,2023-09,2155.21,1009.24,late_3mo,60,5000,4574.37,0
PAY-000059,C-1838,2023-05,3429.73,1263.81,on_time,78,1000,1557.86,1
PAY-000060,C-1568,2023-03,1583.03,0.0,on_time,90,1000,5191.13,1
PAY-000061,C-1372,2023-07,3907.94,3213.3,late_2mo,20,5000,2312.49,0
