transaction_id,customer_id,timestamp,amount,merchant_category,location_lat,location_lon,device_id,is_online,velocity_1h,velocity_24h,distance_from_home,is_fraud
TXN-00000001,C-1725,2026-08-05T13:18:52.946905,35.31,retail,-4.1009,100.7011,DEV-09256,True,4,4,5.74,0
TXN-00000002,C-3824,2026-07-13T00:18:52.946905,110.98,travel,-66.1534,-32.226,DEV-02697,False,3,10,24.72,0
TXN-00000003,C-4989,2026-06-09T15:18:52.946905,52.3,digital,-41.5957,79.0995,DEV-07489,True,2,4,15.07,0
TXN-00000004,C-3399,2026-05-26T02:18:52.946905,306.8,digital,68.9327,-139.5655,DEV-06131,False,1,8,118.12,0
TXN-00000005,C-2169,2026-08-10T05:18:52.946905,147.32,food,-39.14,46.0505,DEV-06168,True,1,12,3.37,0
TXN-00000006,C-2417,2026-07-21T05:18:52.946905,57.54,utilities,-44.5379,60.8873,DEV-08348,False,1,8,17.96,0
TXN-00000007,C-3470,2026-07-23T15:18:52.946905,204.64,travel,78.5868,-176.182,DEV-03875,False,4,1,1.92,0
TXN-00000008,C-4249,2026-06-20T23:18:52.946905,102.5,digital,43.2319,64.0348,DEV-05832,False,1,7,2.64,0
TXN-00000009,C-2695,2026-08-13T09:18:52.946905,144.44,utilities,74.091,90.7778,DEV-09515,True,2,2,83.03,0
TXN-00000010,C-0787,2026-07-24T06:18:52.946905,124.29,utilities,-81.3034,-35.7356,DEV-09869,False,3,7,145.52,1
TXN-00000011,C-0635,2026-07-25T07:18:52.946905,66.04,food,69.6066,30.9014,DEV-01509,False,1,9,22.46,0
TXN-00000012,C-0686,2026-08-21T11:18:52.946905,65.89,utilities,-37.0113,-87.6806,DEV-02840,False,2,10,77.31,0
TXN-00000013,C-4082,2026-07-29T19:18:52.946905,0.41,utilities,-84.6527,-38.6475,DEV-09295,True,1,10,15.26,0
TXN-00000014,C-0264,2026-08-21T12:18:52.946905,45.8,utilities,45.66,-112.05,DEV-02082,True,3,14,32.07,0
TXN-00000015,C-4984,2026-06-22T00:18:52.946905,98.6,retail,49.6099,100.4763,DEV-06379,False,2,12,60.8,0
TXN-00000016,C-1454,2026-07-10T05:18:52.946905,30.12,travel,69.8493,66.2941,DEV-07576,True,1,9,179.35,0
TXN-00000017,C-4964,2026-08-04T19:18:52.946905,95.5,travel,42.5171,-123.3371,DEV-03518,False,3,10,40.98,0
TXN-00000018,C-1203,2026-06-02T10:18:52.946905,70.07,food,17.3179,173.7881,DEV-06105,True,2,8,104.29,0
TXN-00000019,C-0773,2026-05-15T12:18:52.946905,176.21,retail,75.7108,-119.9515,DEV-06577,True,1,8,76.74,0
TXN-00000020,C-4693,2026-08-13T11:18:52.946905,343.36,digital,32.9235,-97.0092,DEV-06348,False,1,3,100.95,1
TXN-00000021,C-3878,2026-08-21T19:18:52.946905,16.7,food,-40.887,-130.4015,DEV-06124,False,2,1,0.22,0
TXN-00000022,C-3027,2026-07-15T15:18:52.946905,18.16,travel,-88.2176,75.4935,DEV-09507,False,2,6,38.93,0
TXN-00000023,C-4620,2026-05-28T13:18:52.946905,85.03,travel,75.8557,-66.6648,DEV-08595,False,4,12,17.66,0
TXN-00000024,C-3346,2026-08-15T04:18:52.946905,127.93,digital,52.4635,-123.3455,DEV-04305,False,3,1,51.01,0
TXN-00000025,C-0645,2026-07-16T16:18:52.946905,14.59,travel,-7.2601,-39.0501,DEV-06524,True,2,13,78.06,0
TXN-00000026,C-4334,2026-08-05T22:18:52.946905,110.66,digital,-76.2297,160.6818,DEV-05575,False,2,13,2.08,0
TXN-00000027,C-4948,2026-08-12T06:18:52.946905,31.84,retail,-63.845,-16.0988,DEV-00735,True,3,5,64.44,0
TXN-00000028,C-1175,2026-05-16T11:18:52.946905,350.51,utilities,56.758,-41.5606,DEV-07597,False,1,7,3.72,0
