date,daily_revenue,daily_expenses,accounts_receivable,accounts_payable,cash_balance,credit_utilization,payment_defaults_count,outstanding_invoices,operating_margin
2026-05-14,389165.3103448276,400213.3448275862,1869156,1491230,9943951.965517242,0.9,9,484,-0.0284
2026-05-15,417043.0,409921.0,1919991,1703495,9921073.965517242,0.64,6,503,0.0171
2026-05-16,398659.9259259259,432729.037037037,2055026,1608687,9862004.85440613,0.71,5,525,-0.0855
2026-05-17,546711.7826086957,395632.60869565216,1980705,1553416,10013084.028319173,0.35,0,493,0.2763
2026-05-18,521914.0,401714.0,1886933,1458354,10128284.028319173,0.43,1,467,0.2303
2026-05-19,482392.1818181818,387112.9090909091,2080751,1311138,10223563.301046446,0.43,0,537,0.1975
2026-05-20,414831.82352941175,355983.5882352941,1941047,1330870,10267411.536340564,0.55,3,535,0.1419
2026-05-21,528101.2580645161,386912.87096774194,1816983,1515031,10408599.923437338,0.4,0,594,0.2674
2026-05-22,402669.4285714286,352222.28571428574,1891252,1434849,10444047.066294482,0.4,3,489,0.1253
2026-05-23,405000.6153846154,432607.6923076923,2018378,1515888,10376439.989371406,0.82,8,432,-0.0682
2026-05-24,376881.87096774194,441254.06451612903,1969390,1487928,10257067.795823019,0.9,11,440,-0.1708
2026-05-25,421652.06976744183,396667.4651162791,2137574,1480687,10252052.400474181,0.81,6,468,0.0593
2026-05-26,351823.3333333333,429836.3333333333,1984063,1569601,10004039.400474181,0.9,34,533,-0.2217
2026-05-27,458445.4285714285,365920.28571428574,1929738,1302357,10091564.543331325,0.36,1,555,0.2018
2026-05-28,390765.23529411765,412946.8823529412,2101487,1488292,10069382.896272501,0.36,0,418,-0.0568
2026-05-29,511129.0,398392.0,1990269,1529836,10177119.896272501,0.39,1,503,0.2206
2026-05-30,490250.5862068966,392585.2068965517,2104675,1525235,10249785.275582846,0.4,5,529,0.1992
2026-05-31,399788.71428571426,407538.14285714284,1872843,1579409,10172035.847011417,0.9,14,530,-0.0194
2026-06-01,294127.7297297297,366237.13513513515,1817302,1491767,10069926.441606011,0.66,6,373,-0.2452
2026-06-02,398859.64705882355,381328.17647058825,2070298,1421192,10077457.912194246,0.55,2,535,0.044
2026-06-03,472135.8461538461,410946.07692307694,1944550,1565041,10138647.681425016,0.38,0,606,0.1296
2026-06-04,505472.8888888889,406015.55555555556,2088800,1379805,10238105.01475835,0.41,0,431,0.1968
2026-06-05,443534.8888888889,419964.55555555556,2169377,1445284,10236675.348091684,0.64,5,496,0.0531
2026-06-06,333273.7826086957,421493.60869565216,2058802,1586628,10113455.522004727,0.72,7,535,-0.2647
2026-06-07,421690.0,400617.0,2104213,1509830,10124528.522004727,0.59,2,483,0.05
2026-06-08,440870.6923076923,367122.1538461539,1901520,1505769,10183277.060466265,0.53,3,558,0.1673
2026-06-09,496922.6315789474,456392.6842105263,2082009,1485381,10183807.007834686,0.76,8,368,0.0816
2026-06-10,380743.2962962963,412148.85185185185,1995861,1675472,10082401.45227913,0.9,14,456,-0.0825
2026-06-11,443128.23076923075,406643.3846153846,2187426,1636980,10108886.298432976,0.58,2,469,0.0823
