inventory_id,product_id,supplier_id,date,stock_level,daily_demand,reorder_point,lead_time_days,days_of_coverage
INV-000001,P-001,S-002,2026-05-14,450,52,156,13,8.67
INV-000002,P-002,S-025,2026-05-14,464,101,303,7,4.6
INV-000003,P-003,S-039,2026-05-14,465,128,384,12,3.64
INV-000004,P-004,S-022,2026-05-14,586,86,258,6,6.82
INV-000005,P-005,S-045,2026-05-14,494,89,267,6,5.56
INV-000006,P-006,S-050,2026-05-14,480,109,327,14,4.4
INV-000007,P-007,S-015,2026-05-14,519,98,294,8,5.3
INV-000008,P-008,S-015,2026-05-14,470,131,393,8,3.59
INV-000009,P-009,S-025,2026-05-14,451,127,381,7,3.55
INV-000010,P-010,S-050,2026-05-14,485,131,393,14,3.71
INV-000011,P-011,S-022,2026-05-14,441,102,306,6,4.32
INV-000012,P-012,S-012,2026-05-14,498,126,378,10,3.96
INV-000013,P-013,S-041,2026-05-14,462,94,282,6,4.92
INV-000014,P-014,S-022,2026-05-14,444,78,234,6,5.7
INV-000015,P-015,S-044,2026-05-14,392,113,339,4,3.47
INV-000016,P-016,S-038,2026-05-14,406,123,369,15,3.31
INV-000017,P-017,S-017,2026-05-14,469,125,375,14,3.75
INV-000018,P-018,S-028,2026-05-14,432,154,462,3,2.81
INV-000019,P-019,S-048,2026-05-14,500,84,252,13,5.96
INV-000020,P-020,S-005,2026-05-14,462,105,315,7,4.41
INV-000021,P-021,S-047,2026-05-14,508,79,237,12,6.44
INV-000022,P-022,S-035,2026-05-14,455,97,291,11,4.69
INV-000023,P-023,S-031,2026-05-14,518,89,267,9,5.83
INV-000024,P-024,S-018,2026-05-14,367,104,312,9,3.53
INV-000025,P-025,S-009,2026-05-14,432,91,273,12,4.76
INV-000026,P-026,S-023,2026-05-14,343,81,243,12,4.24
INV-000027,P-027,S-041,2026-05-14,473,90,270,6,5.26
INV-000028,P-028,S-004,2026-05-14,490,134,402,5,3.66
INV-000029,P-029,S-048,2026-05-14,416,68,204,13,6.13
INV-000030,P-030,S-025,2026-05-14,454,95,285,7,4.78
INV-000031,P-031,S-014,2026-05-14,472,106,318,8,4.46
INV-000032,P-032,S-001,2026-05-14,413,112,336,9,3.69
INV-000033,P-033,S-029,2026-05-14,366,85,255,10,4.31
INV-000034,P-034,S-034,2026-05-14,431,130,390,3,3.32
INV-000035,P-035,S-040,2026-05-14,484,82,246,5,5.91
INV-000036,P-036,S-045,2026-05-14,423,71,213,6,5.96
INV-000037,P-037,S-042,2026-05-14,475,97,291,14,4.9
INV-000038,P-038,S-033,2026-05-14,430,85,255,5,5.06
INV-000039,P-039,S-001,2026-05-14,453,71,213,9,6.39
INV-000040,P-040,S-046,2026-05-14,568,78,234,6,7.29
INV-000041,P-041,S-007,2026-05-14,471,66,198,3,7.14
INV-000042,P-042,S-005,2026-05-14,540,108,324,7,5.0
INV-000043,P-043,S-001,2026-05-14,441,106,318,9,4.16
INV-000044,P-044,S-035,2026-05-14,524,92,276,11,5.7
INV-000045,P-045,S-045,2026-05-14,435,103,309,6,4.23
INV-000046,P-046,S-030,2026-05-14,476,105,315,7,4.54
INV-000047,P-047,S-008,2026-05-14,455,93,279,15,4.9
INV-000048,P-048,S-048,2026-05-14,479,61,183,13,7.86
INV-000049,P-049,S-044,2026-05-14,369,69,207,4,5.35
INV-000050,P-050,S-016,2026-05-14,477,81,243,8,5.89
INV-000051,P-001,S-029,2026-05-15,370,108,324,10,3.43
INV-000052,P-002,S-020,2026-05-15,445,89,267,10,5.0
INV-000053,P-003,S-042,2026-05-15,393,95,285,14,4.14
INV-000054,P-004,S-017,2026-05-15,508,72,216,14,7.06
INV-000055,P-005,S-044,2026-05-15,492,122,366,4,4.03
INV-000056,P-006,S-025,2026-05-15,472,120,360,7,3.93
INV-000057,P-007,S-047,2026-05-15,510,107,321,12,4.77
INV-000058,P-008,S-043,2026-05-15,389,115,345,9,3.38
INV-000059,P-009,S-016,2026-05-15,500,105,315,8,4.76
INV-000060,P-010,S-013,2026-05-15,432,81,243,4,5.34
INV-000061,P-011,S-012,2026-05-15,448,120,360,10,3.73
INV-000062,P-012,S-027,2026-05-15,496,96,288,3,5.17
INV-000063,P-013,S-035,2026-05-15,427,83,249,11,5.15
INV-000064,P-014,S-038,2026-05-15,453,77,231,15,5.89
INV-000065,P-015,S-026,2026-05-15,517,76,228,15,6.81
INV-000066,P-016,S-046,2026-05-15,544,111,333,6,4.91
INV-000067,P-017,S-026,2026-05-15,485,82,246,15,5.92
