supplier_id,supplier_name,reliability_score,avg_delivery_days,category,criticality,contract_value,region
S-001,Supplier_1,0.738,9,components,medium,556452,europe
S-002,Supplier_2,0.8753,13,raw_materials,high,2239567,europe
S-003,Supplier_3,0.7725,10,components,medium,831166,domestic
S-004,Supplier_4,0.2,5,packaging,critical,4398575,americas
S-005,Supplier_5,0.6215,7,logistics,low,4876083,europe
S-006,Supplier_6,0.8313,12,logistics,critical,3316748,asia
S-007,Supplier_7,0.5465,3,logistics,high,2737960,americas
S-008,Supplier_8,0.6426,15,services,critical,4041197,domestic
S-009,Supplier_9,0.7612,12,packaging,low,2223516,europe
S-010,Supplier_10,0.8872,5,services,critical,4777240,americas
S-011,Supplier_11,0.9037,15,raw_materials,high,2663069,asia
S-012,Supplier_12,0.8425,10,raw_materials,medium,4267846,europe
S-013,Supplier_13,0.7649,4,services,low,1887001,americas
S-014,Supplier_14,0.7582,8,packaging,critical,2422840,domestic
S-015,Supplier_15,0.6183,8,components,high,3662502,americas
S-016,Supplier_16,0.8715,8,packaging,low,2253783,asia
S-017,Supplier_17,0.6485,14,components,high,1206931,asia
S-018,Supplier_18,0.8012,9,raw_materials,critical,3676796,americas
S-019,Supplier_19,0.924,10,raw_materials,critical,2169018,domestic
S-020,Supplier_20,0.9798,10,services,low,281097,domestic
S-021,Supplier_21,0.8696,12,services,medium,1442095,americas
S-022,Supplier_22,0.7901,6,raw_materials,medium,3050866,europe
S-023,Supplier_23,0.7798,12,packaging,medium,4029222,europe
S-024,Supplier_24,0.7722,10,raw_materials,medium,2663870,americas
S-025,Supplier_25,0.9391,7,components,high,154228,europe
S-026,Supplier_26,0.5816,15,logistics,medium,3107137,asia
S-027,Supplier_27,0.8304,3,raw_materials,critical,2150195,europe
S-028,Supplier_28,0.7892,3,services,medium,4037438,domestic
S-029,Supplier_29,0.9554,10,raw_materials,high,1200212,europe
S-030,Supplier_30,0.6867,7,services,low,2501341,americas
S-031,Supplier_31,0.9073,9,raw_materials,low,2643753,americas
S-032,Supplier_32,0.7628,13,components,low,916734,asia
S-033,Supplier_33,0.532,5,packaging,critical,3759744,asia
S-034,Supplier_34,0.9904,3,logistics,low,1377706,domestic
S-035,Supplier_35,0.9103,11,raw_materials,critical,844923,domestic
S-036,Supplier_36,0.6582,10,services,high,4738765,americas
S-037,Supplier_37,0.7193,8,logistics,high,435475,domestic
S-038,Supplier_38,0.9668,15,packaging,critical,548745,asia
S-039,Supplier_39,0.9502,12,services,high,3233070,domestic
S-040,Supplier_40,0.7028,5,logistics,high,2490941,asia
S-041,Supplier_41,0.8791,6,services,low,834007,domestic
S-042,Supplier_42,0.8942,14,packaging,low,3185617,americas
S-043,Supplier_43,0.9404,9,raw_materials,critical,3071128,domestic
S-044,Supplier_44,0.8511,4,services,high,4824972,asia
S-045,Supplier_45,0.8762,6,logistics,critical,1725821,asia
S-046,Supplier_46,0.9289,6,services,low,4786472,asia
S-047,Supplier_47,0.8908,12,packaging,medium,4079085,europe
S-048,Supplier_48,0.6689,13,packaging,low,635927,asia
S-049,Supplier_49,0.8672,13,components,medium,3800451,domestic
S-050,Supplier_50,0.8725,14,logistics,critical,3764327,asia
