ticket_id,customer_id,date,category,severity,resolution_time_hours,satisfaction_score,related_order_id,escalated
TKT-00289,C-0098,2026-05-14,technical,low,8,5,ORD-8234,False
TKT-01865,C-2374,2026-05-14,billing,low,12,2,ORD-7936,True
TKT-00773,C-1258,2026-05-14,technical,high,55,2,ORD-8492,True
TKT-00037,C-3375,2026-05-14,technical,critical,55,2,ORD-3994,True
TKT-01885,C-1141,2026-05-14,quality,high,58,2,ORD-9468,True
TKT-00726,C-2597,2026-05-14,quality,medium,42,4,ORD-5592,False
TKT-01651,C-2171,2026-05-14,service,medium,54,2,ORD-9861,True
TKT-00327,C-2159,2026-05-14,service,medium,22,3,ORD-3357,False
TKT-01762,C-3971,2026-05-14,service,medium,19,2,ORD-1280,True
TKT-00345,C-3332,2026-05-14,service,medium,28,4,ORD-4957,False
TKT-01421,C-3911,2026-05-14,billing,low,14,5,ORD-4400,False
TKT-00986,C-4332,2026-05-14,service,low,2,3,ORD-2693,False
TKT-00156,C-0434,2026-05-14,billing,high,129,1,ORD-7493,True
TKT-01874,C-2559,2026-05-14,technical,low,2,4,ORD-6651,False
TKT-00432,C-3039,2026-05-14,service,medium,11,5,ORD-7714,False
TKT-01136,C-2836,2026-05-14,quality,high,103,3,ORD-2298,False
TKT-01129,C-3093,2026-05-14,service,low,43,5,ORD-3686,False
TKT-01373,C-0172,2026-05-14,billing,critical,140,1,ORD-7147,True
TKT-01912,C-0806,2026-05-14,service,low,11,4,ORD-4364,False
TKT-01107,C-2245,2026-05-14,delivery,low,28,3,ORD-9545,False
TKT-00426,C-0976,2026-05-14,technical,low,5,2,ORD-4852,True
TKT-01036,C-2813,2026-05-14,service,low,8,3,ORD-9059,False
TKT-01205,C-3774,2026-05-14,technical,critical,79,1,ORD-7309,True
TKT-01110,C-3468,2026-05-15,quality,critical,61,1,ORD-3524,True
TKT-01864,C-2173,2026-05-15,service,high,107,2,ORD-7118,True
TKT-01020,C-2886,2026-05-15,service,critical,60,2,ORD-6878,True
TKT-01777,C-1542,2026-05-15,service,critical,54,3,ORD-7659,True
TKT-00105,C-0683,2026-05-15,quality,low,22,2,ORD-3891,True
TKT-01066,C-0722,2026-05-15,service,low,2,3,ORD-2454,False
TKT-00837,C-1486,2026-05-15,delivery,high,51,3,ORD-1945,False
TKT-01004,C-2036,2026-05-15,service,low,25,5,ORD-4036,False
TKT-01860,C-1422,2026-05-15,quality,high,60,2,ORD-4658,True
TKT-00997,C-2753,2026-05-15,technical,medium,10,5,ORD-6282,False
TKT-01179,C-4261,2026-05-15,technical,critical,88,1,ORD-7438,True
TKT-01287,C-4392,2026-05-15,quality,high,70,1,ORD-1774,True
TKT-01483,C-3070,2026-05-15,delivery,low,66,2,ORD-1469,True
TKT-00503,C-2376,2026-05-15,quality,high,54,1,ORD-8816,True
TKT-00450,C-2523,2026-05-15,billing,critical,96,2,ORD-1791,True
TKT-00515,C-2694,2026-05-15,quality,low,50,2,ORD-7554,True
TKT-01309,C-0442,2026-05-15,billing,low,11,4,ORD-3222,False
TKT-00521,C-4521,2026-05-15,quality,medium,25,4,ORD-6911,False
TKT-01269,C-3680,2026-05-15,technical,low,6,4,ORD-3788,False
TKT-00359,C-3652,2026-05-15,delivery,critical,54,3,ORD-9185,True
TKT-00592,C-3145,2026-05-15,billing,low,24,4,ORD-4593,False
TKT-00581,C-2439,2026-05-15,quality,medium,15,1,ORD-6574,True
TKT-01543,C-2028,2026-05-15,service,critical,60,1,ORD-7668,True
TKT-00791,C-2925,2026-05-16,technical,medium,27,3,ORD-1408,False
TKT-01344,C-1394,2026-05-16,service,critical,70,2,ORD-4430,True
TKT-00106,C-3746,2026-05-16,billing,low,37,3,ORD-4315,False
TKT-01594,C-2366,2026-05-16,quality,low,36,4,ORD-1320,False
TKT-00398,C-2405,2026-05-16,service,low,27,5,ORD-1695,False
TKT-00806,C-3612,2026-05-16,quality,high,66,1,ORD-1767,True
TKT-01532,C-0430,2026-05-16,billing,medium,7,4,ORD-1042,False
TKT-00684,C-1878,2026-05-16,technical,low,24,3,ORD-9039,False
TKT-01625,C-4229,2026-05-16,delivery,high,87,2,ORD-2363,True
TKT-00736,C-0741,2026-05-16,service,low,66,1,ORD-5850,True
TKT-00862,C-2948,2026-05-16,delivery,low,0,3,ORD-8499,False
TKT-01646,C-2012,2026-05-16,technical,low,20,4,ORD-8077,False
TKT-00764,C-1196,2026-05-16,quality,low,9,5,ORD-4916,False
TKT-01162,C-2110,2026-05-16,technical,medium,68,1,ORD-5675,True
TKT-01600,C-4101,2026-05-16,billing,high,50,1,ORD-2327,True
TKT-01289,C-4409,2026-05-16,quality,high,49,2,ORD-9157,True
TKT-00892,C-1468,2026-05-16,billing,critical,72,1,ORD-8567,True
TKT-00029,C-4768,2026-05-16,service,high,123,1,ORD-5523,True
TKT-01217,C-3128,2026-05-16,delivery,high,50,1,ORD-3945,True
TKT-01318,C-0375,2026-05-16,billing,high,49,1,ORD-4160,True
TKT-00054,C-3512,2026-05-16,billing,high,49,1,ORD-5398,True
TKT-01265,C-0873,2026-05-16,delivery,low,65,2,ORD-6251,True
TKT-00312,C-2617,2026-05-17,service,low,18,3,ORD-7490,False
TKT-00133,C-0599,2026-05-17,service,medium,10,3,ORD-6647,False
TKT-00861,C-0797,2026-05-17,delivery,low,13,4,ORD-5017,False
TKT-01825,C-3142,2026-05-17,delivery,critical,61,2,ORD-8844,True
TKT-01146,C-1495,2026-05-17,delivery,low,27,4,ORD-8374,False
TKT-01623,C-0217,2026-05-17,billing,high,79,2,ORD-2801,True
TKT-00676,C-0884,2026-05-17,delivery,high,95,2,ORD-2538,True
TKT-01854,C-4539,2026-05-17,delivery,low,16,4,ORD-1802,False
TKT-00351,C-0996,2026-05-17,billing,low,8,4,ORD-3439,False
TKT-01419,C-3895,2026-05-17,billing,high,70,2,ORD-8772,True
TKT-01479,C-1099,2026-05-17,quality,high,129,1,ORD-6827,True
TKT-00608,C-4675,2026-05-17,delivery,high,59,1,ORD-1974,True
TKT-00925,C-2769,2026-05-17,delivery,medium,30,4,ORD-7532,False
TKT-01196,C-1198,2026-05-17,billing,high,65,2,ORD-1853,True
TKT-01266,C-2859,2026-05-17,service,critical,61,1,ORD-6914,True
TKT-01018,C-4157,2026-05-17,delivery,high,49,1,ORD-1851,True
TKT-00554,C-4469,2026-05-17,technical,low,3,3,ORD-9859,False
TKT-01931,C-1097,2026-05-17,billing,low,32,3,ORD-9111,False
